File,Line,Column,Type,Message,Source,Severity,Fixable
"/Users/wedevs/Local Sites/pm/app/public/wp-content/plugins/wp-project-manager/core/Pro/Menu.php",44,9,error,"Overriding WordPress globals is prohibited. Found assignment to $submenu",WordPress.WP.GlobalVariablesOverride.Prohibited,5,0
"/Users/wedevs/Local Sites/pm/app/public/wp-content/plugins/wp-project-manager/core/Pro/Menu.php",46,13,error,"Overriding WordPress globals is prohibited. Found assignment to $submenu",WordPress.WP.GlobalVariablesOverride.Prohibited,5,0
"/Users/wedevs/Local Sites/pm/app/public/wp-content/plugins/wp-project-manager/core/Pro/Menu.php",47,13,error,"Overriding WordPress globals is prohibited. Found assignment to $submenu",WordPress.WP.GlobalVariablesOverride.Prohibited,5,0
"/Users/wedevs/Local Sites/pm/app/public/wp-content/plugins/wp-project-manager/core/Pro/Menu.php",48,13,error,"Overriding WordPress globals is prohibited. Found assignment to $submenu",WordPress.WP.GlobalVariablesOverride.Prohibited,5,0
"/Users/wedevs/Local Sites/pm/app/public/wp-content/plugins/wp-project-manager/core/File_System/File_System.php",67,29,error,"File operations should use WP_Filesystem methods instead of direct PHP filesystem calls. Found: file_put_contents()",WordPress.WP.AlternativeFunctions.file_system_read_file_put_contents,5,0
"/Users/wedevs/Local Sites/pm/app/public/wp-content/plugins/wp-project-manager/core/Cli/Commands.php",45,42,error,"rand() is discouraged. Use the far less predictable wp_rand() instead.",WordPress.WP.AlternativeFunctions.rand_rand,5,0
"/Users/wedevs/Local Sites/pm/app/public/wp-content/plugins/wp-project-manager/core/Cli/Commands.php",60,17,error,"mt_rand() is discouraged. Use the far less predictable wp_rand() instead.",WordPress.WP.AlternativeFunctions.rand_mt_rand,5,0
"/Users/wedevs/Local Sites/pm/app/public/wp-content/plugins/wp-project-manager/core/Cli/Commands.php",61,17,error,"mt_rand() is discouraged. Use the far less predictable wp_rand() instead.",WordPress.WP.AlternativeFunctions.rand_mt_rand,5,0
"/Users/wedevs/Local Sites/pm/app/public/wp-content/plugins/wp-project-manager/core/Cli/Commands.php",69,29,error,"mt_rand() is discouraged. Use the far less predictable wp_rand() instead.",WordPress.WP.AlternativeFunctions.rand_mt_rand,5,0
"/Users/wedevs/Local Sites/pm/app/public/wp-content/plugins/wp-project-manager/core/Cli/Commands.php",78,29,error,"mt_rand() is discouraged. Use the far less predictable wp_rand() instead.",WordPress.WP.AlternativeFunctions.rand_mt_rand,5,0
"/Users/wedevs/Local Sites/pm/app/public/wp-content/plugins/wp-project-manager/core/Cli/Commands.php",85,21,error,"mt_rand() is discouraged. Use the far less predictable wp_rand() instead.",WordPress.WP.AlternativeFunctions.rand_mt_rand,5,0
"/Users/wedevs/Local Sites/pm/app/public/wp-content/plugins/wp-project-manager/core/Cli/Commands.php",346,35,error,"date() is affected by runtime timezone changes which can cause date/time to be incorrectly displayed. Use gmdate() instead.",WordPress.DateTime.RestrictedFunctions.date_date,5,0
"/Users/wedevs/Local Sites/pm/app/public/wp-content/plugins/wp-project-manager/core/WP/Menu.php",21,9,error,"Overriding WordPress globals is prohibited. Found assignment to $submenu",WordPress.WP.GlobalVariablesOverride.Prohibited,5,0
"/Users/wedevs/Local Sites/pm/app/public/wp-content/plugins/wp-project-manager/core/WP/Menu.php",25,9,error,"Overriding WordPress globals is prohibited. Found assignment to $submenu",WordPress.WP.GlobalVariablesOverride.Prohibited,5,0
"/Users/wedevs/Local Sites/pm/app/public/wp-content/plugins/wp-project-manager/core/WP/Menu.php",28,13,error,"Overriding WordPress globals is prohibited. Found assignment to $submenu",WordPress.WP.GlobalVariablesOverride.Prohibited,5,0
"/Users/wedevs/Local Sites/pm/app/public/wp-content/plugins/wp-project-manager/core/WP/Menu.php",38,13,error,"Overriding WordPress globals is prohibited. Found assignment to $submenu",WordPress.WP.GlobalVariablesOverride.Prohibited,5,0
"/Users/wedevs/Local Sites/pm/app/public/wp-content/plugins/wp-project-manager/core/WP/Menu.php",42,13,error,"Overriding WordPress globals is prohibited. Found assignment to $submenu",WordPress.WP.GlobalVariablesOverride.Prohibited,5,0
"/Users/wedevs/Local Sites/pm/app/public/wp-content/plugins/wp-project-manager/core/WP/Menu.php",46,13,error,"Overriding WordPress globals is prohibited. Found assignment to $submenu",WordPress.WP.GlobalVariablesOverride.Prohibited,5,0
